time,angle
0.000133,-0.559171
0.000200,-0.559000
0.000267,-0.558657
0.000333,-0.558314
0.000400,-0.557970
0.000467,-0.557799
0.000533,-0.557456
0.000600,-0.557112
0.000667,-0.556769
0.000733,-0.556426
0.000800,-0.556083
0.000867,-0.555740
0.000933,-0.555397
0.001000,-0.555054
0.001067,-0.554710
0.001133,-0.554539
0.001200,-0.554196
0.001267,-0.553852
0.001333,-0.553509
0.001400,-0.553338
0.001467,-0.552995
0.001533,-0.552651
0.001600,-0.552480
0.001667,-0.552137
0.001733,-0.551794
0.001800,-0.551622
0.001867,-0.551279
0.001933,-0.551107
0.002000,-0.550936
0.002067,-0.550593
0.002133,-0.550593
0.002200,-0.550421
0.002267,-0.550249
0.002333,-0.550078
0.002400,-0.550078
0.002467,-0.550078
0.002533,-0.549906
0.002600,-0.549906
0.002667,-0.549906
0.002733,-0.549906
0.002800,-0.549906
0.002867,-0.549906
0.002933,-0.549906
0.003000,-0.549906
0.003067,-0.549906
0.003133,-0.549906
0.003200,-0.549906
0.003267,-0.549906
0.003333,-0.549906
0.003400,-0.549906
0.003467,-0.549906
0.003533,-0.549906
0.003600,-0.549906
0.003667,-0.549906
0.003733,-0.549906
0.003800,-0.549906
0.003867,-0.550078
0.003933,-0.550421
0.004000,-0.550593
0.004067,-0.551107
0.004133,-0.551107
0.004200,-0.551279
0.004267,-0.551450
0.004333,-0.551794
0.004400,-0.551965
0.004467,-0.552137
0.004533,-0.552480
0.004600,-0.552995
0.004667,-0.552995
0.004733,-0.553166
0.004800,-0.553338
0.004867,-0.553681
0.004933,-0.553852
0.005000,-0.554367
0.005067,-0.554539
0.005133,-0.554710
0.005200,-0.555054
0.005267,-0.555397
0.005333,-0.555397
0.005400,-0.556083
0.005467,-0.556083
0.005533,-0.556255
0.005600,-0.556769
0.005667,-0.556769
0.005733,-0.556941
0.005800,-0.557284
0.005867,-0.557284
0.005933,-0.557627
0.006000,-0.557799
0.006067,-0.557799
0.006133,-0.557970
0.006200,-0.558314
0.006267,-0.558314
0.006333,-0.558485
0.006400,-0.558657
0.006467,-0.558828
0.006533,-0.558828
0.006600,-0.559000
0.006667,-0.559171
0.006733,-0.559343
0.006800,-0.559343
0.006867,-0.559515
0.006933,-0.559515
0.007000,-0.559515
0.007067,-0.559686
0.007133,-0.559686
0.007200,-0.559686
0.007267,-0.559686
0.007333,-0.559858
0.007400,-0.559858
0.007467,-0.559858
0.007533,-0.559858
0.007600,-0.559858
0.007667,-0.559858
0.007733,-0.559858
0.007800,-0.559858
0.007867,-0.559858
0.007933,-0.559858
0.008000,-0.559858
0.008067,-0.559858
0.008133,-0.559858
0.008200,-0.559858
0.008267,-0.559858
0.008333,-0.559858
0.008400,-0.559515
0.008467,-0.559343
0.008533,-0.559000
0.008600,-0.558657
0.008667,-0.558485
0.008733,-0.558142
0.008800,-0.557799
0.008867,-0.557456
0.008933,-0.557284
0.009000,-0.556941
0.009067,-0.556598
0.009133,-0.556255
0.009200,-0.555911
0.009267,-0.555568
0.009333,-0.555225
0.009400,-0.555054
0.009467,-0.554710
0.009533,-0.554367
0.009600,-0.554024
0.009667,-0.553852
0.009733,-0.553681
0.009800,-0.553338
0.009867,-0.552995
0.009933,-0.552823
0.010000,-0.552480
0.010067,-0.552137
0.010133,-0.551794
0.010200,-0.551622
0.010267,-0.551279
0.010333,-0.551107
0.010400,-0.550936
0.010467,-0.550593
0.010533,-0.550593
0.010600,-0.550421
0.010667,-0.550421
0.010733,-0.550249
0.010800,-0.550249
0.010867,-0.550078
0.010933,-0.550078
0.011000,-0.550078
0.011067,-0.550078
0.011133,-0.550078
0.011200,-0.550078
0.011267,-0.550078
0.011333,-0.550078
0.011400,-0.550078
0.011467,-0.550078
0.011533,-0.550078
0.011600,-0.550078
0.011667,-0.550078
0.011733,-0.550078
0.011800,-0.550078
0.011867,-0.550078
0.011933,-0.550078
0.012000,-0.550078
0.012067,-0.550078
0.012133,-0.550078
0.012200,-0.550078
0.012267,-0.550421
0.012333,-0.550593
0.012400,-0.550593
0.012467,-0.550764
0.012533,-0.551279
0.012600,-0.551279
0.012667,-0.551450
0.012733,-0.551794
0.012800,-0.551965
0.012867,-0.552137
0.012933,-0.552308
0.013000,-0.552651
0.013067,-0.552823
0.013133,-0.553166
0.013200,-0.553338
0.013267,-0.553681
0.013333,-0.553852
0.013400,-0.554196
0.013467,-0.554710
0.013533,-0.554710
0.013600,-0.554882
0.013667,-0.555397
0.013733,-0.555397
0.013800,-0.555568
0.013867,-0.555911
0.013933,-0.556426
0.014000,-0.556426
0.014067,-0.556598
0.014133,-0.556769
0.014200,-0.556941
0.014267,-0.557112
0.014333,-0.557456
0.014400,-0.557627
0.014467,-0.557799
0.014533,-0.557970
0.014600,-0.558485
0.014667,-0.558485
0.014733,-0.558485
0.014800,-0.558485
